Startup,URL,Description,Country,Innovation Area,Focus Area,Founded,Maturity,Total Funding,Funding Stage
Klarna,klarna.com,"Klarna offers safe and easy-to-use payment solutions to e-stores with the ambition to make e-commerce safer, simpler, and more fun. At the core of Klarna's services is the concept of after delivery payment, allowing buyers to receive ordered goods before any payment is due. At the same time, Klarna assumes all credit and fraud risk for e-stores.",Sweden,Product As A Service,1. Lending,2005,Mature,"1,832,720,000",Series E
LoanPro Software,loanprosoftware.simnang.com,"LoanPro is a comprehensive, loan-servicing software package.",United States,Product As A Service,1. Lending,2016,Nascent,,Undisclosed
Marqeta,https://www.marqeta.com/,"Marqeta offers an open API payment card issuing platform that provides a fully documented, open API issuer processor platform. Companies can build, issue and deploy payment, finance and commerce solutions with control over what, where, and how purchases are authorized. The Marqeta platform integrates with major credit card brands and makes it easier than ever to make payments, receive payments, reward customers and create more efficient business processes.",United States,Product As A Service,3. Cards,2010,Mature,"526,280,000",Series D
MeridianLink,meridianlink.com,MeridianLink is a developer of a multi-channel account opening and loan origination platform and a provider of enterprise business solutions for financial service organizations.,United States,Product As A Service,1. Lending,1998,Emerging,,Undisclosed
Moonshot Insurance,https://moonshot-insurance.com/,Moonshot Insurance is an Insurtech that develops usage-based insurance products and services dedicated to E-Commerce. The platform offers contextual B2B2C insurance with a 100% digital experience.,France,Product As A Service,5. Insurance,2017,Nascent,"1,000,000",Seed
ndigit,https://ndgit.com/,"ndgit provides open banking API solutions to banks and financial institutions. It connects banks and fintech with the digital ecosystem. Its services include customized banking services, transaction management platform, a marketplace for fintech, and more. Banks use API for facilitating KYC, loans, depots, insurance, and more.",,Data Aggregators,9. Open Banking,2016,Emerging,,Acquired
NEAR Protocol,https://near.org/,"NEAR is a decentralized storage and compute platform that is secure to manage high-value assets like money or identity and performant enough to make them useful for everyday people, putting the power of the open web in their hands.",Switzerland,General BaaS Platforms,8. Developer Platforms,2017,Nascent,"21,600,000",Series A
Neonomics,https://www.neonomics.io/,"Neonomics provides open banking APIs. Offers Direct Bank Payments that allow users to access multiple accounts from various bank account providers on one interface. Service providers can facilitate account-to-account payments initiated directly from the user’s accounts. Offers account data aggregation solution that aggregates multiple bank accounts via one endpoint. It provides access to identity data, balance, transaction history, and fund coverage.",,Product As A Service,15. Payments Processing,2017,Nascent,,Undisclosed
Nexus Mutual,https://nexusmutual.io/,Nexus Mutual uses the power of blockchain technology and Ethereum to allow people from all over the world to share insurance risk together without the need for an insurance company.,United Kingdom,Product As A Service,5. Insurance,2017,Nascent,,Undisclosed
Nordigen,nordigen.com,"Nordigen helps financial institutions analyze transactions by identifying context, specializing in risk analysis for approving loans and other banking services. The company offers categorized and enriched transaction data tailored for credit assessment or personal finance management (PFM) solutions.",Latvia,Data Aggregators,10. Other Financial Data,2016,Nascent,"990,000",Seed
Nupay,nupay.co.in,Nupay offers B2B focussed payments and banking services enabling digital payments and automation of account receivables payables processes for Enterprises.,India,Product As A Service,15. Payments Processing,2016,Nascent,"1,000,000",Seed
ODX,odxsolutions.com,"ODX, a spinoff of On Deck Capital, is dedicated to helping banks build digital small business lending products.",United States,Product As A Service,1. Lending,2018,Nascent,,Undisclosed
ONPEX,onpex.com,"ONPEX is a cloud-based, account and payment solution that combines SEPA and cross-border SWIFT transactions using a white label, Banking-as-a-Service (BaaS) platform. Companies can develop and manage their own banking and payment solutions by Application-Programming-Interface (API) integration of the ONPEX solution.",Luxembourg,Product As A Service,15. Payments Processing,2013,Nascent,"4,500,000",Series A
Open Payd,https://www.openpayd.com/,"Open Payd provides a simple connection you can send and receive payments via local and international payments networks, including BACS, CHAPS, Faster Payments, SEPA, SWIFT and ACH, and access named payment accounts and FX conversions",England,Product As A Service,2. Payments Initiation,2015,Nascent,,Undisclosed
Origin,https://www.originprotocol.com/en/,"Origin is a protocol for creating sharing economy marketplaces using the Ethereum blockchain and IPFS. The platform empowers developers and businesses to build decentralized marketplaces on the blockchain. Its protocol makes it easy to create and manage listings for the fractional usage of assets and services. Buyers and sellers can discover each other, browse listings, make bookings, leave ratings and reviews, and much more.",Cayman Islands,Product As A Service,6. Other As A Service,2017,Nascent,"28,400,000",Undisclosed
Payability,payability.com,"Payability provides eCommerce sellers with friction-free cash flow and working capital solutions for marketplaces, including Amazon, Shopify, Walmart, eBay, and Newegg. Fast, simple, and flexible, Payability's customers receive the capital they need to reinvest in inventory, drive more sales, and grow their business faster.",United States,Product As A Service,3. Cards,2014,Nascent,,Undisclosed
Personetics Technologies,personetics.com,"Personetics provides customer-facing AI solutions for financial services and is the company behind the Self-Driving Finance platform. Harnessing the power of AI, Personetics’ Self-Driving Finance solutions are used by the world’s largest financial institutions to transform digital banking into the center of the customer’s financial life – providing personalized insight and advice, automating financial decisions, and simplifying day-to-day money management.",United States,Data Aggregators,9. Open Banking,2011,Emerging,"18,000,000",Series B
Pi Pay,pipay.com,Pi Pay is a mobile payment solution platform operating in Cambodia.,Cambodia,Product As A Service,2. Payments Initiation,2016,Nascent,,Undisclosed
Quotall,https://www.quotall.com/,"Quotall provides insurance software and services for business with everything it needs to sell insurance digitally. It is based in Buckinghamshire, England.",United Kingdom,Product As A Service,5. Insurance,2010,Nascent,,Undisclosed
Railz,Railz.ai,Railz is a single API that integrates with the majority of accounting software service providers used by small businesses.,Canada,Data Aggregators,10. Other Financial Data,2015,Nascent,"1,000,000",Seed
Responsive,https://www.responsive.ai/,Responsive is a hybrid wealth advisor solution for banks and private managers. Responsive captures behavioral insights that enable advisors to identify and act on client opportunities and risks.,Canada,Product As A Service,4. Wealth Management,2015,Nascent,"840,000",Seed
Riskcovry,riskcovry.com,"Riskcovry is an omnichannel ""insurance-in-a-box""​ for consumer businesses that enables any insurance product to integrate across any customer engagement channel, seamlessly.  As an enterprise product company with a B2B2C model, it enables customers with a SaaS & API-first platform, which optimizes all end-consumer touchpoints of insurance.",India,Product As A Service,5. Insurance,2018,Nascent,"1,000,000",Seed
Salt Edge,saltedge.com,"Salt Edge offers fintech solutions for banks, lenders, and finapps by providing innovative and secure services, including Global Data Aggregation API, PSD2 Solutions, and PSD2 Payment Initiation API.",Canada,Data Aggregators,9. Open Banking,2013,Nascent,"3,500,000",Series A
Shift4 Payments,shift4.com,"Shift4 Payments develops enterprise payment solutions that provide web-based applications allowing merchants to convert credit, debit, check and gift card transactions into dollars in the bank quickly, accurately, and securely.",United States,Product As A Service,15. Payments Processing,1994,Mature,,Public
Skale,https://skale.network/,"SKALE provides a blockchain application development platform. It provides a decentralized platform for developers and businesses to develop, deploy, test, and manage Ethereum-based DApps. It offers layer 2 Proof-of-Stake network, sidechains, blockchain consulting, BFT consensus, etc.",,General BaaS Platforms,8. Developer Platforms,2018,Nascent,"11,500,000",Series C
Standard Tokenization Protocol,https://stp.network/,Standard Tokenization Protocol is an open-source standard defining how tokenized assets are issued and transferred while complying with all necessary regulations. Tokens built on top of the STP-Standard will use the protocol's on-chain Validator to verify compliance with any jurisdictional or issuer-specific requirements.,Singapore,General BaaS Platforms,8. Developer Platforms,2019,Nascent,"4,000,000",Series A
Swap MX,swap.mx,"swap is an e-wallet, providing peer and retail payments, and expense management tools.",Mexico,Product As A Service,3. Cards,2014,Nascent,"1,000,000",Seed
Trustly,trustly.net,"Trustly is an online payments services provider. Trustly's scalable PSP technology platform can integrate any payment method and currently offers instant pay-ins and pay-outs, based on online banking epayments. The platform's real-time processing, bookkeeping and account reconciliation functionalities mean that payments can be made quickly, conveniently and safely - a key requirement for merchants, consumers and banks.",Sweden,Product As A Service,15. Payments Processing,2008,Mature,"30,000,000",Series B
Tutuka,tutuka.com,"Tutuka provides prepaid solutions via virtual and physical prepaid cards for the likes of banks, telcos, retailers, developers & fintechs across the world.",South Africa,Product As A Service,3. Cards,1998,Emerging,,Undisclosed
Volante,https://www.volantetech.com/,"Volante offers a payment facilitation solution for financial institutions. It provides cloud payments and financial messaging solutions to accelerate digital transformation for banks, financial institutions, market infrastructures, clearing houses, and corporate treasuries. It helps financial institutional clients integrate and manage the diverse and complex data message formats, standards, and protocols through modular software tools.",USA,Product As A Service,15. Payments Processing,2001,Emerging,"35,000,000",Series C
WeInvest,https://www.weinvest.net/,"WeInvest is a digital wealth management solutions provider. The company's products include Trackwealth, a personal finance management tool that aggregates client accounts in real-time, and WeInvest, a digital investment service that covers passive goal-based and thematic investing through DIY robo-advisory and relationship-manager based advisory channels.",Singapore,Product As A Service,4. Wealth Management,2013,Emerging,"15,300,000",Series B
Wilobank,wilobank.com,"Wilobank is an Argentina-based digital bank offering savings, debit and credit cards. The company utilizes a combination of motion-based biometrics and smartphone-based KYC review to verify new account holders.",Argentina,Product As A Service,3. Cards,2017,Nascent,,Undisclosed
YAPEAL,yapeal.ch,"YAPEAL is a digital banking startup offering bank accounts, peer-to-peer payments, budgeting, debit cards and mobile wallet services.",Switzerland,Product As A Service,2. Payments Initiation,2018,Nascent,,Undisclosed
Yolt Technology Services,https://yts.yolt.com/,Yolt is a smart thinking money app that provides a way to manage money from UK bank accounts and credit cards.,Netherlands,Data Aggregators,9. Open Banking,2017,Nascent,,Undisclosed
Zego,https://www.zego.com/,"Zego provides pay-as-you-go insurance for drivers and riders working for sharing economy companies including Deliveroo, UberEATS, Jinn and Amazon who only pay, via an app or top up card, for cover for the hours they work.",United Kingdom,Product As A Service,5. Insurance,2016,Emerging,"51,550,000",Seed
AeroPay,https://www.aeropay.com/,AeroPay is an alternative payment platform for both in-store and online commerce. It charges businesses lower fees than credit cards and provides customers with cashback on every purchase.,United States,Product As A Service,2. Payments Initiation,2017,Nascent,"1,000,000",Seed
Checkbook,https://checkbook.io/,Checkbook enables digital checks that can be sent and received by the push of a button. It doesn't require the recipient to sign up or download any app to receive the payment. This is critical for enterprises sending thousands or millions of checks.,United States,Product As A Service,15. Payments Processing,2015,Nascent,"2,000,000",Seed
Turnkey Lender,https://www.turnkey-lender.com/,"Turnkey Lender is a provider of lending automation, decision management, and risk mitigation solutions and services. The company operates across North America, Europe, and Southeast Asia with clients in countries worldwide. The company offers AI-driven solutions for SME and enterprise clients that can automate both certain parts or the entirety of the lending process for clients ranging from traditional and alternative to embedded lenders like retailers, fintech startups, auto dealers, medical institutions, and more.",United States,Product As A Service,1. Lending,2015,Emerging,"2,070,000",Series A
FiscalHive,https://www.fiscalhive.com/,"FiscalHive is an AI-based, financial services platform intended to establish a Loan Participation market that eliminates friction through the process, reduces broker costs, and provides analytical insights for better control of balance sheets and yield optimization.",United States,Product As A Service,1. Lending,2017,Nascent,"3,500,000",Series A
Fincluziv,https://www.fincluziv.com/,"Fincluziv is a SaaS for banks and credit unions that fully automates salary & invoice advances to employees & suppliers of corporations that have been pre-approved by them. Banks and credit unions can help employees & suppliers smooth their cash-flows, contributing to their financial wellbeing. It is a way for banks and credit unions to acquire new clients and generate additional revenues with limited costs and risks.",United States,Product As A Service,6. Other As A Service,2018,Nascent,"20,000",Seed
Yoti,https://www.yoti.com/,"Yoti is a mobile ID that can be used to check people's details, prove identity to businesses, prove age, and log in without passwords. Users creates their Yoti by adding their photo and ID documents using their mobile device.",United Kingdom,Capabilities As A Service,"7. KYC/B, Issuance, Underwriting",2014,Emerging,"20,700,000",Seed
HyperVerge,https://hyperverge.co/,"HyperVerge offers real-time analysis of images and videos obtained from sources such as satellites, surveillance cameras, and documents. Deep-learning networks built by HyperVerge power applications for large enterprise clients in defense, energy, and financial services.",United States,Capabilities As A Service,"7. KYC/B, Issuance, Underwriting",2014,Nascent,"1,000,000",Series A
Vyne,https://www.payvyne.com/,Vyne provides payment gateway solutions to businesses. It enables businesses to accept online payments from customers via credit/debit cards.,United States,Product As A Service,2. Payments Initiation,2018,Nascent,,Undisclosed
Vodeno,http://vodeno.com/,"Vinedo provides cloud-based core banking platforms. It provides solutions for retail and SME banking. Its API-enabled platform enables migration from one core banking system to other in-house solutions. Its banking products include savings/current accounts, loans, credit cards, and more. It also provides a customer data management system. The customer interaction is done via API, mobile app, or web.",Poland,Product As A Service,6. Other As A Service,2018,Nascent,,Undisclosed
Element,https://www.element.in/de/,"Element has submitted a license application to the German Federal Financial Supervisory authority (BaFin) to become an insurance carrier offering private property and casualty insurance. The company offers modular insurance API engine that enables digital businesses to launch custom insurance products. Businesses can use the white label platform for real-time price calculation, underwriting or mid-term policy adjustment.",Germany,Product As A Service,5. Insurance,2016,Nascent,"59,600,000",Series A
Figure Technologies,figure.com,"Figure Technologies is a financial technology company leveraging blockchain, AI, and analytics to deliver home equity release solutions and other products that help improve the financial lives of customers.",United States,Product As A Service,1. Lending,2018,Emerging,"1,318,000,000",Series F
GreenSky,greensky.com,"GreenSky operates in the consumer finance marketplace, specializing in the home improvement, retail, and healthcare industries. Utilizing the GreenSky brand, GS works with federally insured, federal and state chartered financial institutions who provide loans to customers of the merchants across all 50 states. GS services the funding participants' portfolios through an exceptional loan servicing organization, which is SSAE 16 Type II compliant.",United States,Product As A Service,2. Payments Initiation,2006,Mature,"610,000,000",Series D
SecFi,secfi.com,"SecFi provides financing to option holders and shareholders of late-stage private companies without having to sell those shares. For option holders, SecFi's financing covers all the exercise cost and federal and state taxes.",United States,Product As A Service,4. Wealth Management,2017,Nascent,"557,000,000",Series D
SumUp Payments,sumup.co.uk,"SumUp is a financial technology company that allows businesses of all sizes to receive payments quickly and simply, both in-store and online. SumUp’s 100% digital sign-up, fast delivery, and quick and easy set-up means that merchants can be empowered by digital transactions within just minutes from receiving their card terminal.",United Kingdom,Product As A Service,2. Payments Initiation,2011,Mature,"471,280,000",Series D
Mirakl,mirakl.com,"Mirakl provides a marketplace platform that allows both B2B and B2C businesses to increase the number of products available for buyers, grow the lifetime value of customers, and anticipate buyer needs and preferences. The solution integrates into any eCommerce platform.",France,Product As A Service,6. Other As A Service,2011,Mature,"393,000,000",Series D
LiftForward,liftforward.com,"LiftForward provides corporations with payment solutions that power subscription services, membership programs, and Hardware as a Service.  LiftForward’s payment solutions include digital lead generation, point-of sale software, white-labelled e-commerce platforms, inventory management, shipping, customer account management, and real-time customer analytics reporting. LiftForward also supplies the financing, providing a total end-to-end solution.",United States,Product As A Service,6. Other As A Service,2013,Emerging,"350,680,000",Series C
Melio,meliopayments.com,"Melio lets users pay vendors by bank transfer or credit/debit card, even if vendors only accept a check.",United States,Product As A Service,2. Payments Initiation,2018,Emerging,"254,000,000",Series C
Zuora,zuora.com,"Zuora offers a subscription relationship management platform to help enable businesses in any industry to launch or shift products to subscription, implement new pay-as-you-go pricing and packaging models, gain new insights into subscriber behavior, open new revenue streams, and disrupt market segments to gain competitive advantage.",United States,Product As A Service,6. Other As A Service,2008,Mature,"242,500,000",Series F
Forter,forter.com,"Forter provides a plug-and-play, anti-eCommerce fraud solution technology that automates the review process by instantly analyzing profile data, behavioral data, and cyber intelligence, enabling the ability to decline fraudsters and approve consumers, in real-time.",United States,Capabilities As A Service,"7. KYC/B, Issuance, Underwriting",2013,Mature,"225,000,000",Series E
GoCardless,gocardless.com,"GoCardless is an online direct debit provider, operating an international payments network for businesses to take and settle recurring payments from anywhere, to anywhere, in any currency.",United Kingdom,Product As A Service,2. Payments Initiation,2011,Mature,"217,320,000",Series F
Groundspeed Analytics,groundspeed.com,"Groundspeed Analytics uses machine learning for commercial insurance data automation, to help brokers and carriers improve financial performance. The Groundspeed platform automatically turns loss runs, exposure documents and policy files into actionable information, empowering users to identify profitable pools of risk and drive better financial outcomes.",United States,Product As A Service,5. Insurance,2016,Emerging,"32,000,000",Series C
Planck,planckdata.com,"Planck is a commercial insurance data platform, built to enable insurers to instantly and accurately underwrite any business. Planck's technology platform aggregates and mines large datasets, using advances in artificial intelligence (AI) to automatically generate and deliver key insights customized to the commercial underwriting process. The end result is an underwriting process with greater insurer visibility into risk factors, leading to improved new business conversion and retention rates and lower loss ratios.",United States,Product As A Service,5. Insurance,2016,Nascent,"28,000,000",Series B
Assur Link,https://www.assur-link.fr/,"Assur Link offers simple APIs, an underwriting platform that stays in your colors and completely modular off-the- shelf insurance offers .",France,Product As A Service,5. Insurance,2018,Nascent,,Undisclosed
WeeCover,https://weecover.com/,"WeeCover integrates in a simple way, through Widget or API, the contracting of insurance coverage in the checkout process of your online store. Added value for your customers, just when they need it.",Spain,Product As A Service,5. Insurance,2019,Nascent,,Undisclosed
Pay Near Me,paynearme.com,"PayNearMe offers payment gateway solutions to businesses. It enables businesses to accept payments from customers via wallets, app, cash, ACH, credit/debit cards, and more. It provides a dashboard for customer engagement & transaction monitoring.",United States,Product As A Service,2. Payments Initiation,2009,Emerging,"92,200,000",Series F
Pine Labs,pinelabs.com,"Pine Labs offers cloud-based point-of-sale (PoS) payments solutions, allowing merchants to accept credit or debit card payments, as well as methods such as e-wallets, QR code payment solutions and unified payments interface (UPI)-based solutions.",India,Product As A Service,2. Payments Initiation,1998,Emerging,"207,000,000",Series E
Paystack,paystack.com,"Paystack allows Nigerian businesses to accept online payments via credit card, debit card, money transfer, and mobile money through an online platform and mobile apps.On October 15th, 2020, Paystack was acquired by Stripe at a valuation of $200M.",Nigeria,Product As A Service,15. Payments Processing,2016,Emerging,"9,420,000",Series A
Veem,veem.com,Veem is a payment service provider (PSP) for global commerce. The company enables businesses and payment platforms to send and receive payments in local currency by using the blockchain as a settlement rail.,United States,Product As A Service,2. Payments Initiation,2014,Mature,"92,570,000",Series D
Bread,getbread.com,"Lon Operations, dba Bread, seeks to develop point-of-sale financing technologies that give retailers the tools to sell more and to engage more deeply with consumers. Bread provides white-labeled, customized solutions designed to optimize business impact by putting the retailer's brand first and empowering consumers via flexible pricing options.",United States,Product As A Service,2. Payments Initiation,2014,Emerging,"206,070,000",Series E
YapStone,yapstone.com,"YapStone is a global provider of web and mobile payment technology solutions, offering a platform that powers electronic payments for international online and mobile marketplaces, including HomeAway and VRBO, as well as for targeted, large vertical markets, including apartment and vacation rentals, HOA communities, self-storage and non-profits. YapStone develops tailored payment solutions to address partner needs.",United States,Product As A Service,15. Payments Processing,1999,Mature,"194,150,000",Series E
Lemon Way,lemonway.com,"Lemon Way is a pan-European payment institution dedicated to marketplaces, crowdfunding platforms, e-commerce websites, and other companies looking for payment processing, wallet management and third-party payment in a KYC/AML - regulated framework.",France,Product As A Service,15. Payments Processing,2007,Mature,"41,420,000",Series B
Handle Financial,handlefinancial.com,"Handle Financial helps consumers thrive in their financial lives, and helps businesses operate and service those consumers more effectively. The PayNearMe transaction network allows businesses and government agencies to accept cash payments in stores nationwide, including CVS Pharmacy, 7-Eleven, Family Dollar and more. Handle Platform provides real-time bill presentment and same-day payment capabilities for a variety of financial services products. The Prism Money app empowers consumers to manage their financial lives more efficiently, giving them visibility into the money they have and tracking and same-day payments for the bills they need to pay.",United States,Product As A Service,15. Payments Processing,2009,Emerging,"114,870,000",Series D
Billie,billie.io,"Billie offers a B2B invoicing and payments platform for SMEs, large e-commerce players, and transnational marketplaces. The company's two core solutions include a checkout financing solution for B2B online stores, which embeds a financing option in the online checkout process, and SME invoice factoring, which is a fully automated platform that handles all outgoing invoices of SMEs.",Germany,Product As A Service,15. Payments Processing,2016,Emerging,"49,070,000",Series B
iyzico,iyzico.com,iyzico provides easy and secure payment system management platforms for eCommerce companies of all sizes and industries. iyziconnect offers a routing module that enables payment transactions to Turkey via one interface: a payment bridge to Turkey for payment service providers and international merchants.,Turkey,Product As A Service,15. Payments Processing,2012,Mature,"28,000,000",Series D
Yoco,yoco.co.za,Yoco is an African Fintech company building a financial platform for South African small businesses. Yoco offers small businesses the tools to accept digital payments in a unified way - both and the point of sale and online - run their business better through intelligent software and grow through cash advances.,South Africa,Product As A Service,2. Payments Initiation,2013,Emerging,"22,050,000",Series B
Cellulant,cellulant.com,Cellulant offers digital payments platforms and mobile banking services to businesses in Africa.,Kenya,Product As A Service,2. Payments Initiation,2002,Mature,"49,000,000",Series C
Payoneer,payoneer.com,"Payoneer empowers global commerce by connecting businesses, professionals, countries and currencies with its cross-border payments platform. Corporations including Airbnb, Amazon, Getty Images, Google and UpWork rely on Payoneer's mass payout services. With Payoneer's fast, flexible, secure and low-cost solutions, businesses and professionals in both developed and emerging markets can now pay and get paid globally as easily as they do locally.",United States,Product As A Service,15. Payments Processing,2005,Mature,"257,000,000",Series E
Sandbox Banking,sandboxbanking.com,Sandbox Banking offers a fast way to integrate new software with banking systems. The universal adaptor plugs into banking systems allowing users to easily connect fintech applications.,United States,General BaaS Platforms,8. Developer Platforms,2015,Nascent,"140,000",Seed
PayFi,payfi.io,"PayFi provides businesses with real-time money movement ​from one bank account to another through simple APIs, featuring instant transactions, simple integration, ubiquitous coverage, and security and compliance.",United States,Product As A Service,15. Payments Processing,2016,Nascent,"3,010,000",Undisclosed
TransCard,transcard.com,"Chattanooga-based TransCard is the leading provider of prepaid products to financial institutions of all sizes. The company’s platform enables financial institutions of all sizes to grow deposits and fee income, deepen their treasury relationships, expand product offerings to the underserved, and turn unprofitable customers from cost items to contribution items. Financial institutions interested in offering prepaid programs should visit http://corp.transcard.com/ and follow us on Twitter.",,Product As A Service,15. Payments Processing,1993,Nascent,,Undisclosed
Chargify,chargify.com,Chargify offers an online platform that enables users to easily manage the recurring revenue billing customer life cycle.,United States,Product As A Service,6. Other As A Service,2009,Emerging,"1,500,000",Seed
Recurly,recurly.com,"Recurly provides recurring billing management for thousands of subscription-based SaaS, media, mobile, productivity, and publishing businesses worldwide.",United States,Product As A Service,6. Other As A Service,2009,Mature,"39,100,000",Series C
ChargeBee Technologies,chargebee.com,"ChargeBee offers a subscription management and recurring billing platform that delivers a ready plug-and-play billing solution on the cloud. Chargebee integrates with payment gateways around the world to let users automate recurring payment collection along with invoicing, taxes, accounting, email notifications, SaaS metrics and customer management.",United States,Product As A Service,6. Other As A Service,2011,Mature,"93,650,000",Series F
Verifi,verifi.com,"Verifi is a full-service provider of global electronic payment and risk management solutions for card-not-present (CNP) merchants. Its products and services enable clients to gain control and transparency into the entire payment process - from global payment acceptance and processing, order screening, revenue recovery and maximization to fraud and risk management and enterprise payment security.",United States,Capabilities As A Service,"7. KYC/B, Issuance, Underwriting",2005,Emerging,,Undisclosed
Chargehound,chargehound.com,"Chargehound is a chargeback solution that makes handling disputes easy. Chargebacks are tedious to rebut yet costly to ignore. Revenue lost from chargebacks can be won back, but the dispute process is time-consuming and inefficient. With one simple integration, Chargehound automates the entire dispute process. Chargehound will create and submit a customized response on the users' behalf.",United States,Product As A Service,6. Other As A Service,2016,Nascent,,Undisclosed
RapidAPI,rapidapi.com,"RapidAPI is a conduit connecting developers with public APIs that allows them to manage all their API connections from a single interface, as well as access metrics.",United States,General BaaS Platforms,8. Developer Platforms,2014,Nascent,"62,630,000",Series B
Flux,tryflux.com,Flux is banking app that can completely digitize receipts and link them to existing payment cards.,United Kingdom,General BaaS Platforms,8. Developer Platforms,2016,Nascent,"9,120,000",Series A
Sensibill,getsensibill.com,Sensibill provides digital banking solutions that foster stronger relationships between financial institutions and their customers. The company’s AI-powered spend management tools help customers make sense of their purchase behavior and their cash flow while unlocking revenue-driving insights for the banks that offer the solution.,Canada,Capabilities As A Service,"7. KYC/B, Issuance, Underwriting",2013,Emerging,"49,790,000",Series D
WalletFi,walletfi.com,"WalletFi is a subscription management platform for financial institutions and their customers. WalletFi helps users easily identify and move recurring charges, subscriptions, and card-on- file (CoF) payments across cards in their digital wallet.",United States,Product As A Service,6. Other As A Service,2016,Nascent,"1,010,000",Seed
Anansi,withanansi.com,Anansi is an insurance platform for high-growth SMEs with an international supply chain of physical goods.,Switzerland,Product As A Service,5. Insurance,2018,Nascent,"1,000,000",Seed
d1g1t,d1g1t.com,"d1g1t is a digital wealth management platform powered by analytics, which provides portfolio management services and risk reporting to advisors and their individual investors.",Canada,Product As A Service,4. Wealth Management,2017,Nascent,"9,100,000",Undisclosed
FundGuard,fundguard.com,"FundGuard has developed an IA-powered investment fund platform. FundGuard's cloud-based investment funds operating system helps asset and fund managers administer investments across mutual funds, ETFs, hedge funds, insurance, and pension.",United States,Product As A Service,4. Wealth Management,2018,Nascent,"4,000,000",Seed
Pascal Financial,pascalfinancial.com,"Pascal Financial is launching a fully integrated, AI-powered wealth management platform in Canada.",Canada,Product As A Service,4. Wealth Management,2020,Nascent,,Undisclosed
Next Gate Tech,nextgatetech.com,Next Gate Tech is a Luxembourg based FinTech that provides software-as-a-service solutions for the asset management industry.,Luxembourg,Product As A Service,6. Other As A Service,2019,Nascent,"2,390,000",Seed
Edgefolio,edgefolio.com,"Edgefolio takes hedge fund data and creates social profiles for these funds that are both visible and searchable to investors. The predominant way of selling a product like a hedge fund remains cold calling, which is why Edgefolio is so important. Our goal is to disrupt how alternative investment products are sold, by allowing the interaction between investor and fund to happen in a scalable and non invasive way.",,Product As A Service,4. Wealth Management,2013,Nascent,,Undisclosed
Finaureus Technologies,finaureus.com,"Finaureus Technologies develops bespoke digital investment products and solutions across diverse asset classes. The tools are powered by proprietary Artificial Intelligence, Machine Learning Algorithms and Cognitive Computing applications that have the ability to extract value from Big Data.",India,Product As A Service,4. Wealth Management,2017,Nascent,"1,000,000",Seed
Tiller,tillertech.com,Tiller provides a platform for wealth management.,United Kingdom,Product As A Service,4. Wealth Management,2016,Nascent,"1,000,000",Seed
MatchMove,matchmove.com,"MatchMove provides end-to-end, mobile wallet and payment card solutions to help businesses increase revenue and boost user engagement.",Singapore,General BaaS Platforms,8. Developer Platforms,2009,Mature,"51,000,000",Series B
Fabrick,fabrick.com,"Fabrick is a new open financial ecosystem that enables and fosters a fruitful exchange between players that discover, collaborate, and create innovative solutions for end customers, through an API platform. Fabrick presents the new way of doing banking: open, modular, and data driven. For banks and financial institutions, Fabrick represents a vast ecosystem of quality services to access in order to grow their business.",Italy,General BaaS Platforms,8. Developer Platforms,2018,Nascent,,Undisclosed
Open Banking Nigeria,openbanking.ng,"Open Banking is a Nigeria-based, not-profit organization working to build the next generation of open API standards for banking in Nigeria and the financial industry.",Nigeria,Data Aggregators,9. Open Banking,2017,Nascent,,Undisclosed
Financial Data Exchange,financialdataexchange.org,"Financial Data Exchange (FDX) is a nonprofit organization that develops an industry standard for financial data sharing. The company is based in Reston, Virginia.",United States,Data Aggregators,10. Other Financial Data,2018,Nascent,,Undisclosed
PelicanPay,pelicanpay.com,PelicanPay delivers a regulated payments and financial crime compliance platform for financial technology enterprises and third-party providers.,United Kingdom,Data Aggregators,9. Open Banking,2007,Nascent,,Undisclosed
Sophtron,sophtron.com,Sophtron builds a platform that fuels business growth by aggregating proprietary data; and empowers consumers to make full use f their own data. Making data more accessible by leveraging natural language processing and machine learning.,United States,Data Aggregators,10. Other Financial Data,2017,Nascent,"500,000",Undisclosed
Toshl,toshl.com,Toshl is an expense tracker that combines mobile phone clients and web management.,United States,Data Aggregators,10. Other Financial Data,2012,Nascent,"1,000,000",Seed
Authorize.Net Holdings,authorize.net,"Authorize.Net is a payment gateway that allows ecommerce providers to accept credit cards and electronic checks directly on their site. It is a solution of CyberSource Corporation, a wholly owned subsidiary of Visa (NYSE: V). Authoize.Net also runs an affiliate program in which any business, developer, or individual can receive monthly commissions for referring their clients to Authorize.Net. It also provides POS solutions, e-check processing, subscription payments, Quickbook sync etc.",,Product As A Service,15. Payments Processing,1996,Nascent,,Undisclosed
PayHub,payhub.com,"PayHub is a merchant services provider that offers an online payment gateway that simplifies payment processes. Merchants can accept payments in their store, through their smart phone, and on their website. Some of the company's services include Virtual Terminal, Web Checkout, Plugins, Gateway, and Mobile.",United States,Product As A Service,15. Payments Processing,2011,Nascent,,Undisclosed
